Phoradendron quadrangulare
Spilotes pullatus
Cucurbita moschata
Oecomys bicolor
Gonopterodendron arboreum
Solanum bicolor
Capsiempis flaveola
Trachemys scripta
Acacia decurrens
Myiodynastes luteiventris
Acanthocereus tetragonus
Enulius flavitorques
Cordia thaisiana
Porites porites
Mechanitis lysimnia
Spizaetus ornatus
Myroxylon balsamum
Palicourea rigidifolia
Hamadryas arinome
Momordica charantia
Cnemidophorus splendidus
Solenopsis vinsoni
Pseudoboa neuwiedii
Heliotropium indicum
Paullinia leiocarpa
Leptodactylus insularum
Rostrhamus sociabilis
Rupornis magnirostris
Gephyrocharax melanocheir
Pinctada imbricata
Rivina humilis
Lecane curvicornis
Aspidosperma polyneuron
Quadrella ferruginea
Pachycondyla harpax
Icterus icterus
Ecteinascidia turbinata
Leptopogon amaurocephalus
Capparis rheedei
Centropyxis aculeata
Calotropis procera
Anemopaegma orbiculatum
Terminalia oblonga
Urobatis jamaicensis
Niphates erecta
Pediastrum duplex
Canavalia brasiliensis
Lecane mira
Senna spectabilis
Pseudocanthon perplexus
Cymaenes odilia
Wissadula periplocifolia
Basileuterus rufifrons
Chiroxiphia lanceolata
Parodon suborbitalis
Rineloricaria magdalenae
Haematera pyramus
Maclura tinctoria
Elachistocleis pearsei
Strix nigrolineata
Vachellia macracantha
Melochia tomentosa
Hypnelus ruficollis
Nyctinomops macrotis
Cissus verticillata
Platymiscium pinnatum
Imparfinis nemacheir
Columbina minuta
Ara ararauna
Cephalotes spinosus
Holothuria grisea
Opsiphanes cassina
Leptodactylus mystacinus
Oreaster reticulatus
Ctenolucius hujeta
Brephidium exilis
Ophiothrix angulata
Progne chalybea
Eurysternus mexicanus
Dytiscus marginalis
Roeboides occidentalis
Chlosyne lacinia
Myiozetetes similis
Aramus guarauna
Coereba flaveola
Falco sparverius
Vitex compressa
Citrus limon
Ximenia americana
Croton niveus
Arcella discoides
Patagioenas cayennensis
Proechimys canicollis
Crotalus durissus
Cebus cesarae
Ectatomma ruidum
Cissus trifoliata
Pseudodiploria strigosa
Leopardus wiedii
Hypostomus hondae
Forpus xanthopterygius
Phacus longicauda
Moina rostrata
Tyto alba
Pachycondyla apicalis
Piaya cayana
Handroanthus serratifolius
Accipiter bicolor
Lasiancistrus guacharote
Pandorina morum
Serjania mexicana
Megalops atlanticus
Prosopis juliflora
Hemidactylus frenatus
Nyctanassa violacea
Cephalotes varians
Setophaga aestiva
Buteogallus urubitinga
Saccoderma melanostigma
Canthon subhyalinus
Eurema xantochlora
Hoplias malabaricus
Iguana iguana
Cyphomyrmex kirbyi
Molothrus oryzivorus
Rhizophora mangle
Phoebis sennae
Xenodon severus
Pelocoris femoratus
Calidris melanotos
Acalypha cuspidata
Aphrissa statira
Fridericia candicans
Saltator olivascens
Pattonomys semivillosus
Saltator orenocensis
Conirostrum leucogenys
Micronycteris schmidtorum
Keratella lenzi
Gampsonyx swainsonii
Sigmodon hirsutus
Morinda royoc
Crudia aequalis
Alouatta seniculus
Temenis laothoe
Phaethornis anthophilus
Thermocyclops decipiens
Volatinia jacarina
Arca zebra
Bactris major
Vireo flavoviridis
